"","TCGA-ES-A2HS-01","TCGA-GJ-A3OU-01","TCGA-UB-A7MF-01","TCGA-DD-A4NO-01","TCGA-DD-AAD5-01","TCGA-2Y-A9H6-01","TCGA-CC-A9FS-01","TCGA-DD-A115-01","TCGA-DD-AADM-01","TCGA-BC-A3KG-01","TCGA-RC-A7S9-01","TCGA-DD-AADF-01","TCGA-EP-A3RK-01","TCGA-DD-AAEG-01","TCGA-CC-A8HS-01","TCGA-G3-AAUZ-01","TCGA-DD-AAW0-01","TCGA-5R-AA1C-01","TCGA-CC-A9FV-01","TCGA-DD-AAE1-01","TCGA-G3-A3CH-01","TCGA-CC-A1HT-01","TCGA-DD-AAE0-01","TCGA-CC-A7IJ-01","TCGA-DD-AADG-01","TCGA-DD-AADN-01","TCGA-G3-A3CI-01","TCGA-RC-A6M4-01","TCGA-WX-AA44-01","TCGA-G3-A3CK-01","TCGA-DD-AADL-01","TCGA-FV-A4ZQ-01","TCGA-DD-AACO-01","TCGA-DD-A4NE-01","TCGA-G3-A25U-01","TCGA-2Y-A9HB-01","TCGA-DD-AAVW-01","TCGA-DD-A4NV-01","TCGA-DD-A3A7-01","TCGA-CC-A5UE-01","TCGA-DD-AADO-01","TCGA-LG-A6GG-01","TCGA-EP-A12J-01","TCGA-BW-A5NQ-01","TCGA-BC-A3KF-01","TCGA-UB-A7MB-01","TCGA-DD-A4NJ-01","TCGA-DD-AADQ-01","TCGA-EP-A26S-01","TCGA-DD-AADR-01","TCGA-DD-A1EH-01","TCGA-DD-A1EE-01","TCGA-DD-AAE6-01","TCGA-WX-AA47-01","TCGA-DD-A3A3-01","TCGA-CC-5261-01","TCGA-DD-AAE9-01","TCGA-RG-A7D4-01","TCGA-ED-A8O5-01","TCGA-ED-A5KG-01","TCGA-MI-A75C-01","TCGA-DD-AAW1-01","TCGA-DD-A1EI-01","TCGA-DD-A1EJ-01","TCGA-DD-AAD0-01","TCGA-DD-AAEE-01","TCGA-DD-AAD8-01","TCGA-DD-A4NS-01","TCGA-DD-A39V-01","TCGA-G3-A25T-01","TCGA-CC-A8HT-01","TCGA-CC-A5UC-01","TCGA-2Y-A9GV-01","TCGA-BC-A10Z-01","TCGA-FV-A4ZP-01","TCGA-DD-AACK-01","TCGA-YA-A8S7-01","TCGA-CC-A7II-01","TCGA-DD-AACS-01","TCGA-DD-AADY-01","TCGA-G3-A5SM-01","TCGA-CC-A7IE-01","TCGA-DD-A4NP-01","TCGA-DD-AACH-01","TCGA-2Y-A9H8-01","TCGA-FV-A495-01","TCGA-RC-A7SH-01","TCGA-K7-A5RF-01","TCGA-3K-AAZ8-01","TCGA-DD-AAE3-01","TCGA-DD-AAVY-01","TCGA-DD-AADC-01","TCGA-BC-A217-01","TCGA-ZP-A9D2-01","TCGA-DD-AAEH-01","TCGA-DD-AACA-01","TCGA-DD-AADJ-01","TCGA-ED-A459-01","TCGA-DD-AAVV-01","TCGA-DD-AAVU-01","TCGA-G3-A3CH-11","TCGA-FV-A3R2-11","TCGA-DD-A3A2-11","TCGA-BC-A10T-11","TCGA-DD-A3A6-11","TCGA-FV-A2QR-11","TCGA-DD-A1EG-11","TCGA-DD-A39X-11","TCGA-DD-A119-11","TCGA-EP-A3RK-11","TCGA-DD-A11B-11","TCGA-BC-A10Y-11","TCGA-FV-A3I1-11","TCGA-DD-A11A-11","TCGA-DD-A116-11","TCGA-EP-A12J-11","TCGA-BD-A2L6-11","TCGA-DD-A114-11","TCGA-DD-A39Z-11","TCGA-BC-A10X-11","TCGA-DD-A11D-11","TCGA-DD-A118-11","TCGA-DD-A1EE-11","TCGA-DD-A1EB-11","TCGA-BC-A10W-11","TCGA-BC-A10R-11","TCGA-DD-A1EI-11","TCGA-DD-A113-11","TCGA-DD-A1EJ-11","TCGA-DD-A11C-11","TCGA-BC-A10Q-11","TCGA-DD-A39W-11","TCGA-BD-A3EP-11","TCGA-ES-A2HT-11","TCGA-BC-A216-11","TCGA-DD-A3A4-11","TCGA-DD-A3A5-11","TCGA-DD-A1EH-11","TCGA-DD-A1EC-11","TCGA-EP-A26S-11","TCGA-DD-A3A3-11","TCGA-BC-A10U-11","TCGA-BC-A110-11","TCGA-DD-A39V-11","TCGA-DD-A3A8-11","TCGA-DD-A1EL-11","TCGA-DD-A3A1-11","TCGA-FV-A23B-11","TCGA-BC-A10Z-11","TCGA-FV-A3I0-11"
"CHRNA4",10.0561,3.1031,4.4155,11.5828,4.418,9.0306,6.8281,0.8349,1.726,5.0578,2.5371,2.395,2.143,9.4794,8.8708,8.7961,9.8364,5.7225,0,4.046,11.4226,0.3461,7.4955,0.4887,7.931,2.0308,3.3397,8.6504,9.0476,2.0274,0.9511,2.6374,8.001,10.2574,11.0288,8.9697,7.8261,10.2915,1.0606,4.7304,1.4682,1.0882,8.2663,0,6.9859,10.0869,10.5717,1.7664,1.2148,0.8895,0.8545,3.9337,0.6947,8.9687,6.8966,8.2477,4.2574,6.6729,4.3547,2.0092,10.8943,8.509,3.4276,2.8439,4.1597,1.3858,10.0863,9.3725,2.5133,2.0128,2.7007,3.5775,11.88,1.8433,1.8953,0.6103,5.2832,1.3891,1.3419,0,5.8039,4.4419,10.4658,1.0716,11.9056,6.9057,1.1857,3.8104,5.9647,9.9607,10.4699,5.3139,4.642,2.096,9.174,0.904,0,5.3733,3.9177,0,8.0557,10.0547,10.1283,7.1307,9.9423,5.4663,9.0268,9.999,7.1105,5.8216,9.5996,8.5989,9.2357,9.0358,8.3244,5.9679,7.8065,5.1873,10.3488,8.7642,5.111,8.6025,5.9195,8.79,9.1671,10.2398,9.171,10.5947,9.6672,8.5748,10.0606,9.8217,11.3598,5.5618,8.8552,5.8567,9.8928,9.4545,10.417,3.3389,7.7726,6.7485,10.3513,9.8798,7.8555,8.5612,9.6381,7.231,7.3215,10.0057
"MEP1A",0,4.5291,0.5588,2.0149,0.594,4.7463,2.7709,0,5.6943,3.1506,8.3077,8.0871,1.0969,9.6737,7.9182,0,2.8582,0,0,9.7076,3.1054,2.6831,3.3367,0.4887,1.1475,10.3013,0,0.6265,7.5547,0.5256,6.4789,12.3697,5.2342,10.2206,3.1789,1.4809,7.0512,4.1238,8.5613,5.1318,6.6931,11.2082,0,6.8102,11.4674,7.0857,0,2.7235,0.9113,2.8007,4.4334,1.131,12.5751,0,1.6368,5.7304,1.7073,8.8259,9.961,9.6362,1.6018,0,5.8864,9.4597,0,1.3858,5.0886,1.0233,0,0.901,10.6433,10.3877,2.3868,11.7949,6.6281,4.6865,0.5906,8.4937,5.8906,0.9438,2.5004,8.5415,0.6136,10.4936,12.686,0.8379,0,2.0235,0,1.7003,0,4.5911,2.8057,0.4477,4.0288,0,8.0047,0.6505,2.9487,0,0.9157,0,0,0,0,1.9044,1.5224,0.8015,2.3596,1.063,1.2169,0.8179,1.5119,2.6397,0,1.0839,3.6508,2.4201,0,2.2366,1.3989,0,2.1704,0.7314,2.6217,1.2505,1.871,1.0154,1.4292,0,2.3036,0.8029,0,0.6856,1.9284,1.7539,0,0,0.8647,0,2.8697,1.393,0,0,0,2.4468,1.7971,4.2049,0,0
"EPS8L3",1.4434,8.1462,7.4243,7.7284,10.2309,8.1372,4.7833,2.5115,7.8663,1.1257,10.9676,0,11.0866,9.3714,9.022,2.4857,7.0535,8.9774,0,7.869,4.7878,9.6266,10.2582,0.8532,2.5511,8.779,0,9.7154,7.4095,8.4511,2.3784,5.038,5.5484,5.9936,4.3622,2.8014,6.6372,0.5688,10.0028,11.5492,7.6923,11.3459,6.0247,8.6029,2.1782,4.9081,8.5093,5.9507,8.1303,8.6283,7.9007,8.7543,3.3615,10.5779,11.0055,8.7507,9.4157,8.4596,5.8919,8.8083,11.0621,7.8152,7.6976,8.8349,5.8728,9.4357,3.7298,8.2432,9.8385,9.3476,6.653,6.383,0.8844,0.8974,11.0675,8.5942,6.05,3.003,1.7235,7.9891,5.907,8.8085,7.5717,10.3451,4.0403,5.8104,9.3368,5.0856,0,4.9187,2.6092,10.9101,8.0397,7.6651,2.3312,6.7743,7.5526,10.101,10.7432,5.5,1.8717,3.3087,1.7639,1.0917,3.4594,3.3098,5.3667,1.691,0.869,3.1086,4.472,0.8179,2.7127,2.0943,0,2.1242,1.8355,2.2419,1.0146,1.5142,1.7889,0,2.503,2.1046,2.4048,1.2505,0,4.7844,2.4633,0,0.9886,1.3157,3.0369,7.5387,6.775,3.0212,0.9907,1.4707,0,1.3333,0,5.489,0.8805,0,0,2.587,2.8456,3.7991,2.6378,0
"AGR2",0,5.7771,0.5588,0,10.3164,3.1892,0,1.3603,2.277,8.026,14.8726,0.8891,0,5.7689,0,0,0,0,1.1987,0,0,6.3634,8.8042,0.4887,0,6.0738,0,2.0919,1.743,0,1.7369,4.7607,1.8548,6.0828,0,3.0295,0,0.5688,10.8694,1.8722,0.9133,11.4671,0,0,0.8347,0.9533,0,6.9009,0,0,0,0.482,0.6947,9.8106,3.2386,9.5952,0,0,2.4126,0.5891,6.9675,0,4.0403,0,0,0,7.5891,9.407,3.5059,0.5197,8.513,4.2862,0,0,13.2764,1.6352,5.6604,9.5386,0,0.9438,3.9535,7.8744,1.0428,12.2627,5.3685,2.3036,0.7114,8.1213,0,0,0,0,0,9.5058,0,0,0,7.6549,9.114,0,2.6597,5.3464,3.8658,1.7059,3.7926,0,7.8885,3.3097,0,4.3651,4.3832,4.7514,5.5351,0,0,3.1438,0,2.2419,1.6045,3.7416,0,0,0,0,1.4427,0,4.519,7.6154,6.1145,0,1.9829,0.8029,4.9416,8.7781,8.4197,0,4.626,0,2.9199,0,0,8.8771,1.4234,3.3416,3.6656,0,4.462,4.2049,5.2314,0
"ZFY",7.2429,7.1051,8.0131,7.6166,6.5889,0,8.1191,7.2797,6.6585,0.4792,0.6785,0,7.4904,0,8.8133,6.739,6.0145,7.7098,8.13,7.5336,8.2599,7.6062,0,4.655,4.7617,5.2493,7.8108,0,0,7.6509,3.7151,8.9992,6.449,0,0.6558,7.167,8.243,5.7464,0,3.0791,3.0121,0.6444,7.9429,5.2384,0.477,8.4522,0,7.8948,7.8565,7.6226,8.8916,7.8399,0,0,6.2459,9.1212,6.1997,4.2807,0,1.0062,5.6394,7.9507,8.1745,0.4062,0,7.5222,0,0,6.7472,0,4.3618,5.2487,0,0.5174,4.5647,8.0857,8.0721,7.4135,7.4339,0.9438,5.3154,5.5864,7.0025,7.8045,0,0,3.3108,7.7263,6.9726,6.8686,7.1163,7.2941,0,5.4089,7.3352,7.8019,0,3.6965,6.6014,6.0097,8.3775,7.5302,0,8.6409,1.2801,8.3216,7.8828,0,7.9355,8.454,8.1111,8.5291,0,8.7614,8.3991,7.9307,7.9445,8.3494,0,0,0.8627,0,8.0295,0,7.8903,0.7567,8.2883,0,0,8.6003,0.9886,0.8029,0,7.7973,0,7.7372,0,8.6487,0,8.1481,8.0322,8.3318,0,8.1816,6.7451,8.4417,6.626,0,0,0
"SLITRK3",0,1.9111,0,3.5788,0,1.6847,4.3053,1.7446,4.6352,0.4792,1.4862,5.6312,6.4142,4.4993,3.45,2.8955,1.7106,2.9831,0,0.9781,0,0,0,8.5138,0,9.5556,10.7949,0,0.8339,0,3.6629,1.8524,0,2.4972,2.6274,1.1337,0.7688,0.9758,2.9097,0,0,1.4272,0,0,1.5651,9.386,0,1.3792,0.5265,8.0925,0,0,0,0,0,0.7531,6.9858,0,0,0,0,0.6776,2.341,0,0,0.6208,2.2553,5.3849,7.7277,5.3691,3.2566,0,9.8688,2.7241,0,4.0474,0,1.3891,0,0,5.1778,0,1.3731,0.7945,0.7415,0.8379,0,5.7311,0,0,0,1.7971,1.3207,3.1709,0.8532,1.6681,2.9024,9.5412,3.7111,0,4.6402,7.3557,6.8076,9.1053,7.1541,7.2918,9.855,9.7291,6.67,8.1998,2.3143,7.9282,8.3322,7.3272,4.7524,1.0839,8.4686,0,9.7382,7.8948,2.3484,9.8428,3.6636,7.8908,4.7883,8.5284,5.3292,7.8314,8.6315,7.4996,10.1595,6.8352,7.2167,1.7796,7.0744,6.9168,8.8973,5.8279,9.2686,7.47,9.5642,9.9988,10.5841,6.4478,6.4442,6.692,5.2989,5.0574,7.602,10.2016
"CD5L",6.691,5.4298,12.8558,1.1483,2.4815,4.7061,9.5177,6.7281,5.1232,5.2038,8.3875,4.2397,9.652,4.4661,5.3288,9.8927,6.7678,1.1051,11.3576,8.6565,8.863,5.8359,4.6092,2.9736,6.9007,10.9941,7.4684,6.1964,3.3771,10.0357,1.7369,11.3288,2.3003,0.6606,7.9635,10.1192,5.4802,8.1704,3.1044,2.0681,5.218,0.6444,4.9573,10.1679,1.3601,3.1633,7.8473,7.3249,4.075,8.9251,0.4895,7.1399,3.9859,1.7173,9.0076,2.8417,6.6374,9.7172,6.1552,9.2254,3.1924,7.9818,7.6487,2.4733,6.2924,7.1702,5.4727,9.0348,12.4007,6.0264,1.7845,8.691,7.863,4.44,6.7302,0.8399,7.7583,0.6226,0.8217,7.6738,5.3885,8.1703,9.6512,4.3023,6.5398,8.2298,1.5421,11.1217,6.0032,9.8062,7.9358,6.5956,2.1684,6.3918,10.9383,7.5469,4.5649,1.4379,8.428,7.7962,12.2865,12.0874,12.0201,10.7712,6.7376,11.3184,11.4712,11.0253,12.5725,10.3665,9.2564,10.6088,11.1611,12.5337,11.3628,10.3167,12.6702,11.4299,8.8808,10.7342,10.9304,11.6216,12.2014,11.4679,11.5811,12.6288,10.4867,10.0585,11.5058,11.6041,9.601,10.5556,11.4906,9.9709,11.9441,12.3086,8.6679,10.522,12.0673,10.4291,12.8583,9.9403,10.8988,10.7582,11.2763,11.4109,12.8143,11.1067,8.9557,9.6473
"CYP8B1",14.2356,11.1933,7.7596,13.2749,5.4357,8.5717,14.7298,14.1563,9.7372,10.1782,5.6849,14.5684,12.0402,10.547,6.8639,13.0573,13.0241,14.4395,0.7205,8.0005,13.0747,2.2617,7.5466,4.064,14.7832,4.5938,15.0105,14.3816,9.7206,14.9482,13.8568,11.5195,10.8574,13.1809,14.8835,12.0559,9.5906,14.8468,8.8189,6.2787,9.6978,13.1672,14.828,8.1269,14.0996,14.1767,10.5227,14.1204,14.4193,13.9663,4.3501,12.1481,10.4564,10.9706,11.319,8.2148,13.0088,9.4741,4.752,3.8188,9.1398,15.1241,10.3505,6.5195,15.0957,14.6352,13.9128,12.204,11.8484,9.4004,11.6599,10.7161,14.5509,13.309,2.877,12.4283,9.4483,2.6775,12.2977,1.9149,12.8201,6.665,15.3676,5.8652,14.0919,12.9571,5.0386,14.5013,11.7915,13.954,14.031,9.5399,12.0965,9.094,12.6232,12.4032,9.8932,12.059,7.9442,10.2857,14.867,14.0418,13.879,13.8182,15.0461,13.8045,14.6201,14.2158,15.1341,14.9515,15.0023,14.2579,14.7306,14.8673,14.7946,15.2218,13.7577,14.5072,14.9381,15.1764,14.884,14.3476,14.7082,14.9338,14.7077,15.4345,14.4774,14.7414,14.6376,15.163,15.1177,15.1874,14.0322,14.4234,15.4008,13.9661,14.6695,15.1445,15.2979,14.7447,13.9034,14.3755,14.7066,14.3051,15.3796,14.2599,14.0195,14.0267,12.7616,15.1909
"USP9Y",3.6062,7.5761,9.1174,8.5417,6.0709,0,5.3846,7.6443,5.6727,0,0,0,7.8052,0,10.2303,4.8839,6.3621,7.977,9.1039,8.1849,8.5604,7.5405,0,6.0861,4.729,3.8962,8.0874,0,2.2964,4.4942,4.3968,6.1061,7.0712,0,0,6.2748,6.7734,5.9176,0,6.0887,3.2978,0,3.8123,5.6392,0,9.5153,0,7.1969,7.1974,8.1281,8.6762,6.3908,0,0,3.5296,7.1165,5.4234,5.3771,0,0,7.4927,7.5082,8.7194,0,0,7.6121,0,0.6006,4.1662,0,5.5308,5.5885,0,0,2.877,4.8795,8.6589,8.6079,3.3518,0,6.5412,6.0355,7.7096,7.8941,0.7415,0,4.0818,7.7827,7.7611,6.9097,3.6116,8.8212,0,5.7583,5.8842,4.3647,0,7.4398,5.9733,4.1671,7.7577,7.5046,0,7.4897,0,7.9336,7.5129,0,7.3412,7.5985,8.152,8.1341,0,8.3518,8.5409,7.9107,8.1927,8.97,0,0,0,0,8.5578,0,7.7302,0,8.3365,0,0,7.8253,0,0,0,8.1084,0,6.9309,0,7.7446,0,7.122,7.0377,7.8061,0,8.0329,6.4265,8.5312,6.3478,0,0,0
"DHRS2",11.6429,9.27,4.9226,4.123,1.3382,12.5836,15.0602,11.0595,11.6822,2.9445,4.2939,11.9802,11.287,9.5265,13.989,10.6663,11.9499,9.7593,2.2887,3.4194,9.4915,2.1778,12.4239,3.4165,12.7428,8.4879,4.3335,2.4198,3.1415,12.9732,6.2853,4.6146,8.6998,1.9648,10.0386,10.638,12.5361,10.5823,11.6985,4.9697,4.9558,9.7055,12.3177,2.8652,6.1603,5.383,9.1117,5.6623,0,13.0335,8.4942,10.3498,2.9642,2.4794,12.0374,8.0969,13.7721,8.0092,9.4786,9.7084,10.8334,11.1436,11.2195,13.979,12.5299,15.2921,7.865,8.5379,8.2358,8.3109,3.9699,8.9036,1.4287,2.5223,9.8488,10.922,2.1831,5.7807,5.182,3.3556,2.6267,13.7402,8.7793,8.4508,8.6965,6.7134,11.9317,9.9123,12.0806,14.4858,12.3265,8.8,5.7123,4.859,12.2716,12.8195,7.2593,8.1904,9.5332,13.7095,10.5005,10.3947,4.496,8.2162,10.898,5.4437,7.3895,11.1607,10.9545,5.6755,2.9303,8.4209,10.8337,9.6525,11.4284,7.9955,7.8065,5.2593,7.3953,10.5582,2.7505,5.3222,8.1938,4.7052,11.3201,6.7441,11.6548,7.1597,9.0229,8.1176,7.3609,9.7068,9.7862,6.1735,2.5052,4.3207,11.2931,9.3682,7.3824,7.1532,6.5795,10.3276,7.812,4.6059,9.8325,10.0346,11.1638,5.4686,9.2114,11.3573
"AVPR1A",0.8951,6.4814,0.9606,5.2051,0.594,1.983,9.8426,8.7044,4.3926,9.7348,0,7.5838,3.8745,7.2654,4.9684,0,2.6122,5.3269,1.1987,5.7641,3.9016,3.5661,0,1.1439,2.2159,0,10.2952,1.3959,0,3.8703,7.149,1.8524,2.3003,6.776,11.3313,3.3997,1.9318,9.351,3.1044,3.1672,0,9.5054,3.5581,2.6597,5.6317,11.5984,5.8806,7.5756,1.6789,4.1042,2.5481,1.7571,2.9642,1.7173,1.0391,4.0071,3.1586,1.3074,4.7228,4.0991,1.2369,1.4847,4.7991,2.969,0,0.6208,6.8118,6.0455,0,1.6637,3.1613,0.8808,10.7813,10.3248,0,3.4942,5.1457,1.0562,5.2707,6.4565,7.9475,2.3182,0,3.5871,4.8352,0.8379,0.7114,8.0646,1.4283,3.3218,2.6092,0.868,7.9405,8.2329,2.8976,1.8534,3.9101,6.5956,5.6261,0,6.8611,7.6041,9.9287,10.9924,6.2614,6.9832,5.9726,7.9737,11.1094,7.7375,7.5527,9.6027,10.0325,9.93,3.9633,4.3246,7.2715,6.4903,7.6437,9.5763,9.4613,9.688,10.2285,8.6689,6.7601,11.5175,7.8717,9.2832,10.1885,10.0224,10.6749,10.1179,7.6381,2.3947,10.1446,8.2429,9.1688,6.4268,10.3969,8.7493,8.5721,11.3546,9.2203,9.9803,6.0406,5.643,6.7306,6.145,7.574,10.1361
"MT1F",3.9651,7.2882,5.4454,4.6971,7.2556,4.0447,4.9129,8.8339,5.9491,4.3716,4.9272,4.6355,5.6099,5.2304,2.862,10.1736,5.7201,2.7561,5.8739,4.2801,5.1125,7.0586,7.6342,9.4788,3.5774,9.4735,9.9907,6.1195,5.486,5.211,7.8047,9.9445,9.0737,4.2915,10.8826,4.3296,5.1493,8.3838,6.9379,6.5069,7.4368,5.8547,3.412,11.2686,8.6147,3.8656,6.3702,12.6165,3.2276,8.7476,3.1172,4.0067,8.7758,8.4369,5.8831,4.9929,2.137,6.0259,4.1057,6.1102,4.589,3.4844,6.9185,5.4356,3.6595,7.4171,5.8719,8.6935,5.2733,9.4752,6.4359,8.283,9.3516,7.6082,5.1842,10.4287,8.0336,12.5135,2.4867,5.5602,8.1478,5.9636,8.3969,6.1749,5.3448,9.7363,4.7619,11.936,6.726,11.7733,1.6044,8.5339,7.3109,6.7836,5.4773,7.5025,4.1915,7.742,7.1848,5.5,12.6593,12.8235,12.3914,13.7046,14.5752,10.8453,12.2126,13.5971,14.1072,11.1582,11.231,10.1449,11.2422,12.5087,12.1157,7.9699,12.5303,10.0427,13.5252,14.0848,12.5195,13.3401,13.6978,11.3951,13.8612,12.7352,11.5319,13.4478,11.6632,11.4611,11.5479,13.4756,11.7424,6.5558,14.1007,12.3317,13.4482,13.2076,13.4195,10.1394,13.0642,13.0592,13.2019,13.2836,12.3717,10.4455,14.5172,9.8006,11.3185,13.3838
"FCN3",8.9196,7.1337,5.6764,2.2171,7.3351,6.3219,10.4891,6.6402,6.8145,4.0326,7.6247,5.8171,6.2184,5.0177,2.373,10.8595,8.506,5.1036,6.7444,5.4164,7.1469,3.8635,7.2341,5.9326,5.7183,8.2381,4.3335,4.2019,7.3623,5.2779,5.4417,2.6374,4.6928,8.0916,2.7559,5.2712,7.4901,10.121,5.4378,2.6604,3.0121,3.5482,5.5355,5.3623,6.0192,5.2295,3.7755,5.1791,5.521,6.527,4.9867,4.9794,5.4691,5.9984,3.0676,7.3587,4.2574,3.3001,2.2582,4.1816,5.5793,5.9296,8.125,5.5198,3.3658,4.856,5.5327,10.8479,4.0063,10.3188,3.5853,9.323,6.2535,6.7661,7.6075,5.0266,9.1551,3.003,4.1606,4.0619,6.7289,3.8636,10.2529,5.7906,3.3793,10.2664,2.6085,13.3745,1.0892,6.377,2.3452,6.8017,4.3904,9.062,9.7262,5.1461,5.4296,4.222,6.1612,5.0956,12.9353,11.5398,12.4181,11.4638,8.5898,11.1449,12.9114,12.476,12.9178,9.2856,11.4435,11.3025,12.416,10.974,12.1215,11.9005,11.8208,12.0592,9.3845,11.8647,12.6762,12.5547,11.7733,12.286,12.456,12.0724,11.9599,11.5493,12.2989,12.1237,12.508,12.1969,11.7302,11.9127,12.2834,13.3486,9.7144,11.724,11.384,12.486,11.1823,11.9136,12.2038,12.7423,12.8073,12.7016,12.9277,11.6037,9.7729,11.9518
"UPK3A",0.8951,10.3421,2.6331,3.3397,3.9794,8.9681,0.72,0,0.8233,1.3651,8.5604,0.8891,1.0969,4.2094,7.7393,1.506,9.0927,0,2.9024,5.4488,6.382,0.625,10.1534,1.5927,0,4.9939,6.4084,0.6265,8.6441,0.5256,9.9173,4.7607,11.1377,9.0436,0,0.6755,9.1893,1.2928,1.6652,10.314,6.7054,1.7015,0,7.8438,12.9853,4.9525,5.6942,0,0,0.8895,10.7888,0.8427,12.6197,0,3.0676,7.3707,1.0927,6.2239,7.1778,5.2214,7.0288,0.6776,1.9436,11.1605,0.6616,0,0,2.847,0,4.1629,7.6236,6.5347,2.6031,2.8154,11.3088,4.7862,0.5906,3.003,6.3904,7.5864,11.9278,5.7663,0,1.9775,9.1902,3.3853,8.2767,0.8208,0,1.0874,0,5.2528,0,8.71,3.8787,7.8733,8.9302,3.2549,5.0262,1.3075,1.4714,3.422,0.847,1.7059,0,2.3548,2.5063,0,0,0,1.2169,1.7173,1.9175,0,1.3907,0,2.2791,2.5786,1.0146,2.573,1.3989,0,0,1.8642,2.8102,1.6176,2.1118,1.6054,1.09,0,0.9886,1.3157,2.2028,3.5036,0.9527,1.4749,1.986,0.9151,0,2.4749,2.3802,2.0884,0.8805,3.0191,6.2363,0.6383,0,1.1966,0.8043,0.9267
"IGFALS",10.0362,6.1011,7.1779,3.9633,4.452,9.5698,5.92,4.9067,7.2387,7.6994,10.9732,4.9851,4.6058,7.399,11.0748,10.5058,9.0776,3.7722,3.1329,8.7794,10.1192,5.9542,8.1189,0.4887,9.4293,2.8425,6.8461,5.7914,9.2222,3.0827,9.2745,5.6463,9.915,10.4553,9.4456,5.9096,8.6004,8.7698,6.8319,6.636,5.3488,1.4272,8.3935,2.1325,9.1554,5.8016,9.1882,2.537,5.9994,5.2019,10.0288,1.577,5.5852,5.2332,5.5348,8.9697,3.4848,5.8709,3.0049,7.5707,2.9606,5.4648,8.1907,6.5448,10.2142,7.8626,10.4231,9.9288,0,11.3478,8.2746,8.1904,13.7229,4.8599,5.5619,6.4003,3.8737,3.1853,12.2174,7.4252,7.7844,5.1082,6.0018,5.2653,11.9487,11.264,8.2006,12.2383,9.8915,8.3036,5.9593,6.0662,6.981,12.3085,8.0082,6.4325,9.5614,7.6631,6.1059,2.9333,13.4466,11.502,12.7649,11.4358,14.3802,9.9573,11.4755,12.3846,12.8052,13.0367,10.9229,10.5254,11.6144,10.6667,11.9116,12.7874,9.1402,10.4529,12.63,13.368,12.2693,12.7726,12.0907,13.512,11.5863,12.8309,13.0693,12.7412,11.9643,13.4527,13.6113,14.0429,11.5939,10.4191,12.6016,11.5583,13.9151,13.5968,12.2873,12.2092,10.012,12.3127,12.516,12.1839,13.8067,12.1407,10.6248,11.1589,9.8473,14.273
"UGT1A4",10.9218,8.774,7.3209,12.9751,7.3948,12.8383,13.6451,12.7143,11.0986,6.9838,4.4073,10.4275,12.7413,5.6467,7.1025,10.6903,11.801,15.2507,0,10.2389,12.5218,7.7325,5.4385,6.318,14.2085,1.6811,10.347,15.0239,6.2516,14.758,9.3203,11.1122,5.4461,8.5476,12.8777,14.1603,12.1668,11.9816,3.1738,13.1397,0,13.2442,15.1168,12.4561,9.367,7.5,7.3331,8.4606,14.102,14.0887,9.0295,14.4928,9.9599,11.3537,10.6009,4.459,14.1536,11.4752,9.6574,7.3568,12.1355,15.2434,12.2863,12.6429,13.5795,15.866,11.0241,13.3901,9.8735,7.9518,9.3913,9.266,12.6881,11.8497,2.8859,13.7382,8.4002,0,10.3509,12.9423,13.0154,8.1116,13.6099,14.1694,9.0703,8.2811,1.7748,13.8121,12.9455,13.5345,14.9832,11.8488,5.1616,7.7604,14.0118,15.5663,11.3187,6.8985,12.8967,12.4294,13.6561,12.9472,13.5215,13.0767,12.6732,13.5518,13.058,13.9789,14.4548,12.7507,13.2231,13.6154,13.7372,14.1705,14.0867,13.7541,12.3781,13.8086,13.7924,13.7272,13.5174,13.7153,13.6158,13.8004,13.5392,13.5219,13.7685,14.4913,13.0087,13.5919,13.946,14.1903,13.8382,13.2963,13.153,13.7205,13.9696,13.6563,13.2833,13.4967,13.7574,12.9027,13.5746,13.1363,13.5433,13.75,9.942,13.7311,12.6327,13.8126
"AP1M2",0,11.3315,7.9062,11.1596,8.9338,0.7977,0.72,9.0305,7.2239,3.2732,3.5618,10.314,10.9595,0.599,0,7.8748,5.1332,11.3128,0.7205,0.9781,1.5368,9.8422,11.116,4.4034,7.4792,13.0224,0.9354,1.895,6.7885,5.2779,5.5748,3.9164,11.5559,5.6708,0.6558,0,9.7142,3.0444,11.298,6.0544,5.0741,2.6011,0,9.2372,5.8335,4.4941,1.7571,1.7664,0.5265,10.9442,0,10.3179,6.8196,3.4979,10.1268,10.1119,9.1711,7.6918,2.0852,8.2387,11.6028,3.2316,4.9203,1.8487,1.457,4.8826,2.5155,8.1519,11.5922,11.1348,11.2918,7.3888,0,10.2414,13.492,11.7692,9.1742,5.0611,6.4294,0,9.8628,8.5721,0,6.7678,5.7747,10.8114,10.8252,7.7316,0,0,3.0254,10.7915,5.9638,5.6264,0,4.0601,0,6.3151,4.0984,10.074,5.8951,6.4269,3.7845,6.082,5.5458,6.5589,6.015,3.6879,5.0181,4.5101,5.7893,4.7514,2.7127,2.6397,6.5711,7.0809,5.711,5.8159,2.8324,6.0439,3.9757,4.1333,5.9471,5.2215,6.243,4.6115,5.7591,5.758,4.3354,2.1361,5.8601,4.2381,4.6102,8.5996,7.288,4.1383,3.7901,4.9179,3.5451,3.5408,3.7675,6.9612,4.4611,3.9273,5.2553,5.9066,5.8563,5.9017,7.2736,4.3799
