"gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Gene774",36,55,43,93,94,44
"Gene775",89,40,25,56,69,63
"Gene776",126,131,216,239,158,163
"Gene777",121,107,86,151,108,177
"Gene778",93,56,96,94,82,51
"Gene779",59,47,37,104,67,70
"Gene780",30,44,28,32,25,30
"Gene781",25,31,25,46,23,57
"Gene782",58,62,107,124,104,113
"Gene783",70,143,39,64,124,139
"Gene784",96,56,92,117,55,76
"Gene785",48,34,57,56,81,62
"Gene786",122,98,107,51,68,90
"Gene787",376,203,240,220,278,277
"Gene788",280,302,232,317,311,227
"Gene789",96,167,142,123,212,160
"Gene790",109,82,59,88,89,70
"Gene791",28,25,33,58,23,44
"Gene792",101,79,147,115,58,128
"Gene793",142,97,229,100,141,123
"Gene794",37,56,55,36,72,43
"Gene795",204,205,249,225,175,263
"Gene796",14,25,12,14,10,24
"Gene797",156,67,169,163,142,195
"Gene798",91,121,97,87,93,48
"Gene799",188,75,99,144,187,66
"Gene800",18,14,19,23,18,29
"Gene801",133,169,157,73,142,102
"Gene802",118,113,178,135,134,110
"Gene803",80,70,91,31,53,60
"Gene804",230,75,210,82,125,232
"Gene805",138,133,104,282,54,236
"Gene806",22,15,13,14,26,10
"Gene807",131,80,96,60,71,221
"Gene808",148,210,243,140,173,157
"Gene809",59,62,41,46,53,40
"Gene810",90,65,127,55,101,13
"Gene811",12,4,6,6,11,8
"Gene812",107,126,147,78,116,184
"Gene813",204,290,136,317,212,239
"Gene814",106,109,257,105,157,110
"Gene815",89,176,251,142,89,203
"Gene816",109,53,147,93,66,95
"Gene817",17,28,15,9,19,15
"Gene818",127,143,130,165,192,157
"Gene819",50,34,23,16,31,62
"Gene820",68,153,207,236,143,227
"Gene821",116,104,74,95,109,148
"Gene822",61,250,127,134,143,136
"Gene823",24,7,21,12,16,15
"Gene824",46,70,54,65,49,148
"Gene825",91,61,62,64,72,78
"Gene826",111,127,126,209,86,225
"Gene827",40,31,57,36,51,42
"Gene828",70,186,117,152,72,122
"Gene829",87,49,75,27,71,80
"Gene830",47,60,60,73,58,27
"Gene831",67,109,85,205,95,190
"Gene832",79,44,70,73,44,48
"Gene833",11,45,46,20,90,89
"Gene834",67,92,97,69,90,60
"Gene835",19,4,10,15,6,8
"Gene836",126,144,172,336,140,95
"Gene837",41,24,21,25,27,29
"Gene838",35,62,38,68,35,55
"Gene839",179,290,192,164,220,177
"Gene840",223,129,111,137,118,154
"Gene841",133,142,186,214,106,139
"Gene842",94,77,79,63,64,81
"Gene843",51,43,66,77,43,54
"Gene844",69,77,65,125,26,111
"Gene845",7,12,10,6,19,18
"Gene846",25,17,28,22,14,27
"Gene847",47,36,44,68,77,27
"Gene848",72,46,97,137,157,72
"Gene849",76,60,102,80,92,71
"Gene850",58,41,53,65,31,35
"Gene851",188,173,178,233,121,174
"Gene852",74,41,127,82,69,51
"Gene853",31,27,23,17,35,51
"Gene854",190,178,126,177,136,180
"Gene855",56,22,24,31,29,23
"Gene856",34,58,59,71,32,28
"Gene857",44,43,111,47,43,72
"Gene858",250,74,125,78,152,142
"Gene859",90,200,121,146,152,180
"Gene860",4,13,5,17,4,3
"Gene861",144,109,83,112,86,100
"Gene862",137,64,156,183,96,116
"Gene863",23,68,54,34,31,59
"Gene864",34,41,84,57,119,70
"Gene865",30,48,84,93,80,122
"Gene866",72,139,132,207,209,195
"Gene867",12,13,24,12,14,33
"Gene868",271,251,189,262,154,152
"Gene869",20,41,39,74,75,54
"Gene870",118,157,213,179,113,117
"Gene871",49,86,37,49,61,56
"Gene872",90,156,99,102,122,205
"Gene873",48,49,74,63,55,38
"Gene874",41,29,97,133,78,120
"Gene875",196,121,163,141,83,200
"Gene876",87,91,55,113,98,80
"Gene877",1,4,4,4,11,5
"Gene878",40,48,26,43,36,42
"Gene879",894,494,448,521,476,412
"Gene880",30,42,30,35,28,44
"Gene881",144,79,97,122,48,89
"Gene882",73,80,52,70,139,72
"Gene883",86,124,66,52,146,135
"Gene884",120,43,95,130,56,50
"Gene885",216,112,122,172,174,93
"Gene886",89,65,114,289,182,148
"Gene887",16,21,13,13,7,23
"Gene888",24,14,22,30,17,30
"Gene889",108,70,188,133,77,151
"Gene890",18,52,24,22,23,51
"Gene891",23,45,37,31,48,45
"Gene892",31,76,60,90,59,56
"Gene893",84,41,43,72,122,69
"Gene894",42,36,79,73,61,41
"Gene895",188,195,136,82,147,129
"Gene896",28,45,28,56,36,33
"Gene897",85,211,159,224,170,211
"Gene898",59,71,14,61,59,33
"Gene899",54,88,46,101,44,77
"Gene900",36,29,23,45,21,23
"Gene901",303,176,188,248,321,412
"Gene902",133,208,245,166,128,222
"Gene903",34,77,43,50,51,42
"Gene904",19,48,23,33,17,25
"Gene905",29,41,91,54,81,96
"Gene906",40,63,41,52,45,61
"Gene907",72,100,44,90,75,193
"Gene908",108,156,149,144,197,136
"Gene909",14,36,43,16,29,22
"Gene910",54,51,27,50,27,45
"Gene911",50,112,69,100,43,23
"Gene912",44,71,41,34,52,55
"Gene913",356,344,357,110,365,321
"Gene914",64,94,61,50,48,75
"Gene915",29,15,12,8,20,13
"Gene916",145,258,120,73,88,232
"Gene917",174,221,165,147,185,211
"Gene918",107,150,209,43,144,228
"Gene919",163,75,65,62,77,190
"Gene920",78,57,90,84,64,78
"Gene921",25,25,42,21,32,42
"Gene922",75,143,99,104,92,99
"Gene923",331,166,258,156,180,273
"Gene924",142,64,70,79,108,73
"Gene925",92,112,123,80,141,117
"Gene926",208,72,77,86,246,124
"Gene927",24,10,35,36,56,61
"Gene928",185,201,155,80,91,200
"Gene929",19,11,19,10,14,29
"Gene930",15,27,12,12,16,13
"Gene931",70,101,95,46,53,96
"Gene932",162,200,216,180,125,174
"Gene933",95,95,136,138,192,157
"Gene934",185,206,161,100,164,101
"Gene935",31,40,42,67,44,48
"Gene936",75,77,98,77,74,83
"Gene937",78,73,104,51,111,35
"Gene938",153,156,115,83,184,95
"Gene939",77,121,87,89,98,66
"Gene940",46,66,27,18,22,42
"Gene941",54,73,66,112,97,73
"Gene942",62,76,67,81,65,94
"Gene943",16,3,6,8,8,10
"Gene944",136,268,115,171,117,132
"Gene945",79,58,24,60,54,37
"Gene946",116,231,140,145,148,118
"Gene947",8,6,6,1,2,6
"Gene948",40,41,62,52,75,43
"Gene949",17,28,65,36,32,27
"Gene950",99,123,67,101,93,121
"Gene951",84,130,110,164,140,137
"Gene952",85,60,53,111,162,85
"Gene953",62,105,28,88,64,91
"Gene954",66,62,85,103,132,202
"Gene955",77,60,63,50,85,71
"Gene956",185,143,226,103,132,160
"Gene957",128,59,44,83,128,144
"Gene958",61,98,91,103,133,106
"Gene959",69,242,113,166,143,159
"Gene960",64,70,103,67,106,42
"Gene961",60,73,86,107,78,112
"Gene962",103,59,95,44,130,122
"Gene963",58,83,22,45,38,46
"Gene964",116,126,72,95,85,125
"Gene965",59,48,34,99,62,84
"Gene966",18,6,9,19,13,15
"Gene967",9,24,11,11,26,14
"Gene968",94,45,60,70,48,61
"Gene969",29,8,10,15,28,18
"Gene970",74,134,103,100,57,98
"Gene971",62,164,271,206,58,248
"Gene972",70,66,46,81,54,54
"Gene973",54,41,40,33,25,17
"Gene974",92,75,117,293,119,76
"Gene975",60,57,44,43,52,29
"Gene976",33,33,37,18,18,28
"Gene977",343,241,132,263,444,166
"Gene978",62,62,64,60,52,41
"Gene979",108,92,87,96,147,153
"Gene980",11,26,36,50,41,52
"Gene981",19,22,36,40,35,28
"Gene982",21,21,19,34,16,15
"Gene983",25,8,7,20,12,19
"Gene984",183,158,157,174,164,209
"Gene985",68,30,29,27,47,48
"Gene986",33,50,31,49,40,27
"Gene987",93,99,68,87,125,109
"Gene988",36,60,44,83,75,38
"Gene989",109,124,140,160,103,97
"Gene990",136,153,173,66,110,126
"Gene991",148,116,85,179,149,113
"Gene992",46,41,36,30,55,84
"Gene993",29,45,26,55,66,41
"Gene994",101,74,62,71,63,40
"Gene995",72,110,79,50,85,84
"Gene996",26,43,53,32,25,61
"Gene997",73,117,52,51,71,50
"Gene998",40,28,21,19,24,37
"Gene999",236,139,281,234,336,158
"Gene1000",96,69,121,120,41,57
"Gene1001",42,53,34,37,31,74
"Gene1002",172,304,145,158,153,139
"Gene1003",107,102,190,171,267,95
"Gene1004",48,50,30,24,24,24
"Gene1005",94,94,74,68,118,88
"Gene1006",86,158,130,111,153,112
"Gene1007",120,81,90,115,141,94
"Gene1008",40,83,41,60,64,107
"Gene1009",5,4,4,4,1,2
"Gene1010",16,9,16,3,14,19
"Gene1011",36,34,46,38,40,34
"Gene1012",54,77,84,65,45,86
"Gene1013",88,53,89,72,35,33
"Gene1014",121,70,121,122,102,81
"Gene1015",24,59,41,66,40,30
"Gene1016",62,120,187,176,76,42
"Gene1017",100,35,60,67,106,122
"Gene1018",112,94,81,92,111,66
"Gene1019",72,83,46,66,67,30
"Gene1020",248,134,44,186,194,77
"Gene1021",75,72,171,158,57,63
"Gene1022",56,36,37,51,36,48
"Gene1023",208,312,164,132,222,310
"Gene1024",12,34,54,24,21,35
"Gene1025",69,87,54,45,64,59
"Gene1026",152,362,212,170,188,201
"Gene1027",199,144,221,96,192,185
"Gene1028",61,32,22,51,46,46
"Gene1029",193,86,238,180,166,166
"Gene1030",91,42,86,124,104,62
"Gene1031",121,112,49,115,92,146
"Gene1032",191,322,250,295,242,222
"Gene1033",111,128,115,25,69,66
"Gene1034",105,37,42,81,114,53
"Gene1035",50,58,58,121,48,74
"Gene1036",9,5,6,10,10,15
"Gene1037",9,18,25,26,31,27
"Gene1038",72,74,158,155,91,94
"Gene1039",47,26,32,39,12,33
"Gene1040",100,50,77,34,90,80
"Gene1041",66,93,66,61,75,29
"Gene1042",202,43,124,150,111,110
"Gene1043",48,53,138,63,67,143
"Gene1044",305,134,182,160,245,208
"Gene1045",107,73,135,139,62,45
"Gene1046",51,21,33,31,28,42
"Gene1047",81,236,153,98,148,143
"Gene1048",47,51,60,39,31,47
"Gene1049",100,125,73,182,245,224
"Gene1050",102,124,101,115,89,51
"Gene1051",238,130,138,116,121,111
"Gene1052",261,486,230,264,260,312
"Gene1053",42,36,29,36,15,14
"Gene1054",225,125,88,148,212,125
"Gene1055",16,25,14,13,14,2
"Gene1056",182,202,154,329,195,211
"Gene1057",35,26,16,22,28,33
"Gene1058",18,7,12,15,11,16
"Gene1059",68,63,95,97,98,102
"Gene1060",89,101,62,48,75,64
"Gene1061",45,79,83,69,87,53
"Gene1062",50,28,34,43,38,46
"Gene1063",176,71,206,175,218,161
"Gene1064",183,122,154,215,145,149
"Gene1065",157,83,109,78,103,130
"Gene1066",110,126,83,117,104,71
"Gene1067",142,103,141,220,118,238
"Gene1068",159,201,162,125,227,114
"Gene1069",101,58,57,80,49,61
"Gene1070",80,17,47,67,35,52
"Gene1071",283,71,114,240,217,292
"Gene1072",21,19,22,38,50,30
"Gene1073",220,154,408,238,140,265
"Gene1074",33,41,32,34,25,41
"Gene1075",131,227,350,288,106,177
"Gene1076",61,63,69,59,74,55
"Gene1077",110,154,224,103,147,238
"Gene1078",384,190,322,355,190,277
"Gene1079",133,185,172,143,346,140
"Gene1080",64,91,62,77,56,45
"Gene1081",145,163,198,97,355,110
"Gene1082",77,111,57,115,68,45
"Gene1083",158,116,95,101,165,129
"Gene1084",72,60,103,133,127,111
"Gene1085",75,117,87,123,94,121
"Gene1086",27,13,22,24,51,19
"Gene1087",169,342,206,109,146,176
"Gene1088",172,241,181,164,47,186
"Gene1089",192,130,111,185,137,78
"Gene1090",24,54,78,23,59,15
"Gene1091",126,249,373,250,190,235
"Gene1092",66,135,70,69,79,82
"Gene1093",34,65,34,35,48,50
"Gene1094",58,32,32,50,37,40
"Gene1095",20,41,47,61,72,34
"Gene1096",58,79,68,83,81,51
"Gene1097",112,179,117,48,151,125
"Gene1098",127,108,204,144,146,110
"Gene1099",327,524,338,172,180,458
"Gene1100",33,32,44,44,13,19
"Gene1101",8,12,17,9,25,13
"Gene1102",58,36,45,68,41,67
"Gene1103",197,140,140,174,113,205
"Gene1104",387,323,276,287,356,353
"Gene1105",303,164,695,477,160,389
"Gene1106",209,299,178,118,248,237
"Gene1107",22,28,25,18,26,29
"Gene1108",112,58,78,65,66,90
"Gene1109",71,62,51,37,57,59
"Gene1110",188,272,119,186,198,136
"Gene1111",60,52,59,46,37,60
"Gene1112",86,142,66,45,40,91
"Gene1113",39,59,25,53,38,19
"Gene1114",280,98,151,224,152,146
"Gene1115",38,46,70,40,72,58
"Gene1116",19,25,5,26,24,34
"Gene1117",192,204,204,182,260,129
"Gene1118",11,8,12,27,22,13
"Gene1119",15,23,26,25,45,25
"Gene1120",93,87,221,94,94,71
"Gene1121",102,60,40,55,109,68
"Gene1122",65,30,67,11,40,37
"Gene1123",67,110,38,82,70,73
"Gene1124",275,487,282,200,306,247
"Gene1125",187,173,154,175,170,98
"Gene1126",186,93,62,68,82,110
"Gene1127",139,143,113,144,267,124
"Gene1128",56,39,36,21,45,50
"Gene1129",149,156,86,213,235,265
"Gene1130",34,33,45,49,33,17
"Gene1131",222,85,145,114,122,105
"Gene1132",68,54,44,66,146,44
"Gene1133",152,144,205,111,175,139
"Gene1134",30,77,43,45,40,68
"Gene1135",81,53,70,74,68,137
"Gene1136",39,75,54,40,44,24
"Gene1137",155,203,169,171,212,116
"Gene1138",168,162,260,225,101,204
"Gene1139",157,125,87,116,143,157
"Gene1140",303,195,133,183,190,169
"Gene1141",142,154,224,214,216,132
"Gene1142",30,25,18,14,29,13
"Gene1143",79,65,52,68,49,44
"Gene1144",103,131,140,93,161,117
"Gene1145",110,87,81,105,112,175
"Gene1146",103,91,108,47,121,97
"Gene1147",28,32,49,50,27,71
"Gene1148",45,29,18,41,11,47
"Gene1149",379,221,337,339,360,402
"Gene1150",218,154,199,78,95,170
"Gene1151",120,120,125,135,150,165
"Gene1152",106,36,60,50,50,43
"Gene1153",340,194,201,365,333,114
"Gene1154",162,99,286,309,270,224
"Gene1155",15,25,11,14,6,9
"Gene1156",103,55,64,68,47,75
"Gene1157",60,41,68,50,48,66
"Gene1158",294,122,91,133,121,187
"Gene1159",73,11,52,47,38,41
"Gene1160",70,38,50,91,50,60
"Gene1161",91,75,86,88,91,51
"Gene1162",60,38,24,46,53,51
"Gene1163",34,32,25,13,36,16
"Gene1164",129,234,90,139,142,106
"Gene1165",39,41,15,52,22,28
"Gene1166",124,105,166,121,121,217
"Gene1167",47,41,64,46,48,33
"Gene1168",64,32,55,82,54,36
"Gene1169",109,101,88,219,163,161
"Gene1170",30,106,23,55,30,49
"Gene1171",114,60,57,53,30,83
"Gene1172",106,182,134,177,196,138
"Gene1173",136,125,129,81,123,151
"Gene1174",63,101,86,120,95,36
"Gene1175",93,128,94,87,83,164
"Gene1176",46,110,110,85,25,84
"Gene1177",62,34,32,28,28,64
"Gene1178",69,54,89,40,45,49
"Gene1179",124,92,177,112,203,151
"Gene1180",79,55,119,73,65,102
"Gene1181",50,54,89,91,50,74
"Gene1182",76,32,39,52,44,36
"Gene1183",16,5,7,6,15,15
"Gene1184",32,75,90,69,80,38
"Gene1185",36,68,37,48,30,24
"Gene1186",33,49,59,58,70,66
"Gene1187",255,139,219,154,199,201
"Gene1188",75,211,163,284,156,116
"Gene1189",16,35,18,27,13,10
"Gene1190",31,34,78,45,87,63
"Gene1191",66,71,67,71,49,48
"Gene1192",170,110,290,191,190,158
"Gene1193",10,6,13,17,10,13
"Gene1194",225,382,422,303,134,294
"Gene1195",40,17,37,12,28,19
"Gene1196",15,18,19,24,26,15
"Gene1197",17,6,21,6,11,14
"Gene1198",42,76,95,78,103,95
"Gene1199",167,131,157,193,184,100
"Gene1200",92,101,62,142,112,89
"Gene1201",140,132,222,159,155,199
"Gene1202",242,163,154,208,188,154
"Gene1203",29,56,42,53,69,33
"Gene1204",4,5,4,8,4,6
"Gene1205",55,36,66,58,59,59
"Gene1206",76,55,55,60,49,35
"Gene1207",90,53,115,86,35,76
"Gene1208",23,14,15,32,6,8
"Gene1209",57,46,29,35,72,44
"Gene1210",17,14,18,14,7,16
"Gene1211",199,172,201,139,115,196
"Gene1212",89,69,175,132,152,87
"Gene1213",123,134,90,118,108,84
"Gene1214",142,182,211,165,103,228
"Gene1215",62,43,45,57,43,44
"Gene1216",88,110,91,87,82,112
"Gene1217",51,25,38,32,36,60
"Gene1218",23,18,17,31,20,46
"Gene1219",97,68,116,48,56,71
"Gene1220",98,55,118,67,71,50
"Gene1221",203,107,138,122,133,139
"Gene1222",60,60,53,54,66,73
"Gene1223",120,158,146,121,127,189
"Gene1224",100,101,134,72,164,83
"Gene1225",72,34,76,23,49,57
"Gene1226",67,37,86,89,42,31
"Gene1227",83,84,148,71,56,72
"Gene1228",49,37,72,63,49,42
"Gene1229",209,269,383,402,506,379
"Gene1230",84,43,65,100,139,115
"Gene1231",75,123,65,113,86,124
"Gene1232",188,134,119,180,133,90
"Gene1233",141,124,169,194,130,294
"Gene1234",140,149,115,111,197,195
"Gene1235",37,58,122,71,88,144
"Gene1236",27,32,52,13,44,41
"Gene1237",7,3,10,5,3,6
"Gene1238",390,405,530,422,92,329
"Gene1239",114,94,106,66,41,138
"Gene1240",144,155,148,116,216,169
"Gene1241",217,143,93,129,122,118
"Gene1242",73,97,49,37,119,56
"Gene1243",134,160,89,194,117,214
"Gene1244",148,256,126,133,112,144
"Gene1245",48,41,66,61,28,21
"Gene1246",50,85,91,87,106,153
"Gene1247",60,35,42,43,56,47
"Gene1248",93,226,262,186,138,112
"Gene1249",53,119,37,94,56,52
"Gene1250",48,78,100,101,70,108
"Gene1251",83,110,78,128,105,97
"Gene1252",121,117,59,60,112,129
"Gene1253",35,55,67,74,86,60
"Gene1254",40,73,53,83,52,29
"Gene1255",17,11,16,20,13,24
"Gene1256",30,19,30,28,16,19
"Gene1257",25,37,44,77,47,13
"Gene1258",75,144,141,89,212,137
"Gene1259",84,65,68,84,60,76
"Gene1260",53,125,151,74,75,89
"Gene1261",39,42,32,64,93,63
"Gene1262",20,48,29,22,42,13
"Gene1263",77,74,52,50,102,57
"Gene1264",209,169,325,226,227,177
"Gene1265",178,278,102,347,204,164
"Gene1266",69,74,67,133,96,121
"Gene1267",75,44,68,68,60,53
"Gene1268",68,47,41,70,55,43
"Gene1269",19,27,15,27,13,18
"Gene1270",67,71,98,59,93,117
"Gene1271",198,154,143,230,110,222
"Gene1272",153,260,212,183,210,236
"Gene1273",183,103,150,201,168,109
"Gene1274",82,50,162,184,124,115
"Gene1275",81,59,45,30,68,83
"Gene1276",255,97,223,276,190,252
"Gene1277",390,524,280,332,430,504
"Gene1278",92,54,33,36,27,53
"Gene1279",75,86,63,59,90,96
"Gene1280",38,60,39,47,32,72
"Gene1281",39,65,38,21,31,24
"Gene1282",187,191,150,234,168,90
"Gene1283",38,37,42,32,59,39
"Gene1284",83,189,157,101,133,216
"Gene1285",37,45,50,53,44,78
"Gene1286",17,22,19,20,13,14
"Gene1287",55,21,11,30,42,40
"Gene1288",128,131,79,132,53,133
"Gene1289",120,102,134,62,50,53
"Gene1290",250,169,180,243,148,303
"Gene1291",44,73,55,97,55,77
"Gene1292",172,180,218,161,143,359
"Gene1293",76,71,68,46,33,121
"Gene1294",78,162,91,70,64,104
"Gene1295",38,46,23,25,27,26
"Gene1296",10,40,18,30,23,18
"Gene1297",36,70,50,67,32,48
"Gene1298",89,85,98,100,91,103
"Gene1299",91,119,112,55,196,145
"Gene1300",24,20,23,40,19,35
"Gene1301",41,130,46,44,85,84
"Gene1302",136,126,110,127,131,138
"Gene1303",32,106,63,30,48,47
"Gene1304",46,42,42,76,136,37
"Gene1305",226,269,281,376,282,168
"Gene1306",196,186,196,304,193,334
"Gene1307",89,64,142,115,131,113
"Gene1308",156,116,118,112,177,145
"Gene1309",79,116,104,44,120,93
"Gene1310",37,72,56,56,25,53
"Gene1311",37,52,37,35,18,31
"Gene1312",115,67,117,173,163,141
"Gene1313",35,23,34,21,27,24
"Gene1314",28,20,44,39,40,24
"Gene1315",219,133,118,82,220,110
"Gene1316",139,142,119,112,90,76
"Gene1317",37,46,34,30,39,70
"Gene1318",65,52,42,67,57,45
"Gene1319",55,29,80,49,62,64
"Gene1320",46,79,99,56,73,116
"Gene1321",112,186,101,99,102,121
"Gene1322",59,115,139,65,141,83
"Gene1323",152,143,112,119,158,89
"Gene1324",84,79,102,70,139,124
"Gene1325",94,146,162,139,116,85
"Gene1326",204,452,266,289,213,530
"Gene1327",213,199,327,182,75,198
"Gene1328",120,131,152,71,153,60
"Gene1329",127,169,177,239,226,127
"Gene1330",95,95,121,95,88,173
"Gene1331",112,282,268,108,86,116
"Gene1332",31,52,54,44,33,57
"Gene1333",70,64,114,63,98,163
"Gene1334",329,317,142,193,254,171
"Gene1335",59,291,120,131,92,144
"Gene1336",247,127,354,175,319,201
"Gene1337",18,25,30,14,28,38
"Gene1338",59,53,82,36,83,77
"Gene1339",217,177,109,106,150,205
"Gene1340",79,113,160,71,106,60
"Gene1341",63,145,135,160,158,96
"Gene1342",382,205,322,563,478,166
"Gene1343",33,69,71,72,76,57
"Gene1344",297,304,235,323,214,388
"Gene1345",135,219,142,95,199,149
"Gene1346",14,6,6,17,16,18
"Gene1347",64,53,62,28,49,26
"Gene1348",85,121,157,51,65,131
"Gene1349",90,45,66,56,84,34
"Gene1350",80,82,102,119,85,44
"Gene1351",108,236,207,124,334,229
"Gene1352",249,224,222,280,168,195
"Gene1353",91,150,124,114,132,102
"Gene1354",28,52,43,34,30,58
"Gene1355",100,66,49,84,148,102
"Gene1356",90,54,62,150,136,51
"Gene1357",80,54,57,73,39,72
"Gene1358",551,219,342,534,338,588
"Gene1359",68,62,27,68,81,56
"Gene1360",82,64,71,88,73,31
"Gene1361",30,17,27,21,28,24
"Gene1362",161,53,107,178,111,202
"Gene1363",75,75,60,29,40,58
"Gene1364",107,59,42,83,96,34
"Gene1365",334,184,191,215,250,419
"Gene1366",14,19,30,20,20,28
"Gene1367",287,161,105,274,107,226
"Gene1368",143,175,170,308,394,262
"Gene1369",31,23,33,31,22,26
"Gene1370",55,63,58,44,49,119
"Gene1371",29,32,17,19,12,31
"Gene1372",114,158,163,249,208,166
"Gene1373",133,177,315,176,414,144
"Gene1374",141,174,239,155,96,123
"Gene1375",8,2,10,15,1,1
"Gene1376",78,91,210,108,152,210
"Gene1377",9,10,10,5,17,19
"Gene1378",24,87,161,82,103,105
"Gene1379",52,74,55,64,131,77
"Gene1380",98,92,86,26,63,64
"Gene1381",59,92,143,93,48,88
"Gene1382",99,170,80,154,157,116
"Gene1383",406,309,450,292,541,514
"Gene1384",262,468,292,364,295,278
"Gene1385",157,244,305,416,291,282
"Gene1386",46,13,30,22,27,11
"Gene1387",169,112,181,137,132,176
"Gene1388",103,102,100,92,83,88
"Gene1389",86,94,112,66,38,58
"Gene1390",80,89,61,77,144,107
"Gene1391",96,219,106,243,157,121
"Gene1392",92,58,24,78,73,66
"Gene1393",130,135,145,111,88,72
"Gene1394",103,95,47,44,63,89
"Gene1395",154,173,204,110,106,194
"Gene1396",25,21,29,69,33,28
"Gene1397",108,140,179,213,183,211
"Gene1398",57,116,137,114,108,122
"Gene1399",33,25,23,14,25,15
"Gene1400",52,88,53,50,32,97
"Gene1401",24,98,85,108,27,61
"Gene1402",64,39,69,85,40,52
"Gene1403",201,45,163,105,75,157
"Gene1404",34,47,34,27,18,35
"Gene1405",208,74,84,88,120,131
"Gene1406",72,83,77,70,75,67
"Gene1407",32,63,45,61,45,50
"Gene1408",186,148,153,78,141,154
"Gene1409",110,105,100,73,123,63
"Gene1410",475,501,494,439,391,443
"Gene1411",60,51,30,64,39,52
"Gene1412",163,130,83,88,114,108
"Gene1413",213,175,186,176,163,56
"Gene1414",60,37,31,52,66,72
"Gene1415",188,196,256,230,242,261
"Gene1416",90,62,113,66,34,60
"Gene1417",45,51,58,73,28,58
"Gene1418",185,92,319,229,244,199
"Gene1419",182,144,113,121,107,66
"Gene1420",337,104,374,180,129,146
"Gene1421",52,22,48,36,35,55
"Gene1422",66,66,58,67,99,86
"Gene1423",156,133,144,178,151,86
"Gene1424",39,45,43,83,37,47
"Gene1425",69,41,78,84,70,99
"Gene1426",63,49,110,97,31,103
"Gene1427",9,15,7,6,24,14
"Gene1428",133,55,32,75,35,52
"Gene1429",87,84,148,124,78,108
"Gene1430",171,182,110,99,165,153
"Gene1431",125,130,183,169,139,113
"Gene1432",175,165,241,286,115,181
"Gene1433",51,86,68,99,70,144
"Gene1434",102,84,104,147,73,177
"Gene1435",41,45,51,38,57,25
"Gene1436",79,185,96,125,144,76
"Gene1437",49,78,56,92,53,38
"Gene1438",22,31,16,25,28,31
"Gene1439",45,33,22,11,30,16
"Gene1440",317,379,220,180,415,249
"Gene1441",73,91,76,110,31,79
"Gene1442",187,56,170,148,101,109
"Gene1443",209,68,68,77,80,123
"Gene1444",110,148,369,175,186,229
"Gene1445",86,95,93,116,160,43
"Gene1446",55,103,50,126,102,45
"Gene1447",189,171,188,77,134,224
"Gene1448",37,32,33,77,26,66
"Gene1449",116,32,57,78,73,97
"Gene1450",85,111,82,78,123,120
"Gene1451",81,101,56,180,96,53
"Gene1452",125,84,55,143,100,115
"Gene1453",190,87,236,148,181,255
"Gene1454",78,111,146,114,152,127
"Gene1455",186,229,218,135,239,194
"Gene1456",70,47,80,19,45,24
"Gene1457",83,81,55,89,93,99
"Gene1458",78,53,104,73,52,86
"Gene1459",45,57,66,30,53,52
"Gene1460",110,199,177,197,215,197
"Gene1461",51,70,113,63,74,61
"Gene1462",45,22,49,45,46,68
"Gene1463",118,129,97,76,97,120
"Gene1464",87,91,44,48,47,62
"Gene1465",52,34,28,30,41,16
"Gene1466",201,135,140,68,113,186
"Gene1467",52,43,13,30,32,28
"Gene1468",147,91,64,73,40,61
"Gene1469",266,400,293,164,135,275
"Gene1470",34,59,45,28,33,105
"Gene1471",104,54,45,99,103,154
"Gene1472",85,65,73,69,36,82
"Gene1473",241,183,233,232,286,288
"Gene1474",41,48,41,51,50,56
"Gene1475",204,198,286,80,164,267
"Gene1476",134,152,202,147,140,120
"Gene1477",59,49,55,63,126,54
"Gene1478",30,23,8,21,16,27
"Gene1479",211,122,127,172,100,72
"Gene1480",71,56,68,76,124,53
"Gene1481",31,30,33,62,51,38
"Gene1482",106,179,151,168,122,134
"Gene1483",56,98,76,102,71,52
"Gene1484",33,43,58,25,59,51
"Gene1485",15,21,15,19,16,22
"Gene1486",195,127,243,142,119,220
"Gene1487",113,219,107,102,176,122
"Gene1488",291,296,518,219,258,302
"Gene1489",295,171,161,239,202,163
"Gene1490",27,60,59,24,53,57
"Gene1491",80,59,30,37,25,60
"Gene1492",99,74,90,47,33,47
"Gene1493",133,119,142,149,117,93
"Gene1494",60,32,25,62,57,62
"Gene1495",25,63,32,52,37,51
"Gene1496",104,114,72,101,109,112
"Gene1497",23,19,27,20,11,14
"Gene1498",58,105,47,98,180,111
"Gene1499",87,102,129,78,83,90
"Gene1500",62,55,23,77,70,98
"Gene1501",14,27,20,24,21,29
"Gene1502",152,256,137,227,128,181
"Gene1503",49,53,47,39,45,52
"Gene1504",50,54,179,186,66,48
"Gene1505",186,155,140,169,153,168
"Gene1506",124,118,104,115,60,88
"Gene1507",215,92,193,111,158,156
"Gene1508",220,215,91,126,101,131
"Gene1509",229,153,248,153,328,186
"Gene1510",31,23,56,60,48,30
"Gene1511",161,87,96,125,133,195
"Gene1512",50,69,62,41,78,50
"Gene1513",106,174,122,125,70,92
"Gene1514",76,100,168,116,250,99
"Gene1515",120,78,82,99,86,78
"Gene1516",78,68,55,103,56,74
"Gene1517",96,86,73,64,145,113
"Gene1518",30,83,50,47,40,32
"Gene1519",107,87,101,65,77,65
