gene,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
MODB_27,7.6617,9.9245,7.5544,5.5175,4.7618,-0.4427,5.9724,4.4774,5.6128,4.8690,4.1383,11.0867,4.6570,6.0434,6.8639,7.4452,1.7171,4.8369,2.7788,9.2393,7.9533,5.7469,4.7713,5.4441,6.5857,-2.1201,4.6129,7.7767,8.3931,11.2669,6.7396,7.2079,5.7192,13.5733,6.3788,6.6990,11.6173,6.9612,5.0835,7.3949
MODB_28,8.3099,8.3788,7.2362,5.5535,5.6346,-0.0628,4.6345,5.0193,6.5800,4.9493,4.2615,8.8323,5.7190,5.7510,6.0543,6.8456,2.5013,6.4329,5.0225,7.4961,7.5581,4.8502,4.7328,6.8693,4.7498,0.0281,4.4638,7.4536,6.9291,8.2006,5.9269,6.3291,5.0942,9.3984,6.2660,6.8221,8.3831,6.7889,5.4163,6.5878
MODB_29,6.6629,8.6551,6.5145,5.0428,6.8399,2.1561,5.6767,6.0692,6.0738,5.4341,4.7382,8.1570,4.7871,6.3951,6.8376,5.8075,2.5269,6.0697,4.1155,8.3316,6.8300,5.5398,4.9589,6.3773,6.7021,1.5052,5.1234,6.6591,6.8998,9.7527,6.3908,6.1539,5.4435,10.2206,5.9795,6.7569,9.3345,6.8059,5.4230,6.3902
MODB_30,8.8877,8.1049,6.2688,5.6758,5.9716,1.8302,7.5815,6.0173,5.8382,5.8182,5.1120,9.8285,4.9679,6.5915,6.4474,7.7510,3.6834,4.8845,4.4999,8.3918,7.2812,5.7701,4.8878,6.0145,5.7319,1.7579,5.6726,7.6520,7.6336,9.2664,6.5524,6.4691,7.7691,11.6876,7.2377,7.3188,8.9721,9.0021,5.9412,7.7793
MODB_31,7.0002,8.7407,6.3219,3.3674,4.4371,1.4462,5.0233,4.4824,5.0125,5.1481,4.1159,9.1575,4.2390,5.8469,6.8247,6.5218,2.4508,4.2950,4.6736,8.3144,8.0397,5.0795,4.2451,6.0147,5.6507,-0.1765,2.9006,6.4476,6.7644,9.4359,6.4309,6.0795,5.5444,11.6527,6.4693,6.3104,9.3713,6.8303,5.5295,6.9246
MODB_32,6.9051,9.0898,6.8049,4.7803,5.0700,-0.0371,6.1903,4.7442,5.3540,3.9261,4.4208,9.6420,5.2602,5.7932,7.3922,6.6356,2.0391,5.4594,3.8987,7.1664,7.4959,4.6584,4.7054,6.1680,6.2323,-0.3249,4.6892,7.7956,5.9634,10.1860,5.5523,7.6730,5.5973,11.5821,6.1551,6.5227,10.2969,8.7834,5.4975,7.1038
MODB_33,7.5909,10.2004,6.9127,5.6775,7.4358,1.3793,7.3530,4.5341,6.5375,6.2251,5.0231,10.4874,5.1667,7.1173,8.0095,8.8752,3.1038,6.5208,4.4770,8.7425,8.9169,5.0729,6.2587,5.5082,7.3064,0.5028,5.4846,7.4649,6.8173,9.9969,6.2740,6.0954,6.1464,11.7086,7.0938,7.2765,10.1156,7.8807,7.1639,7.5750
MODB_34,7.8352,8.5895,5.6093,4.2137,5.8428,1.8511,5.3042,5.0578,6.0665,5.3707,3.7443,9.6862,5.4185,6.4403,6.7564,6.3342,2.8659,6.3443,3.6740,7.3935,7.5148,5.0381,5.8210,5.3347,5.1729,-0.1434,3.4196,7.0541,6.6915,10.0941,5.8488,5.9683,5.5574,10.3744,5.8982,6.3203,7.9717,7.5928,4.6646,6.8536
MODB_35,8.2184,10.2377,7.0408,5.3152,6.0057,2.4383,6.0841,5.7618,7.1003,5.1443,4.5109,10.0871,5.1682,6.0613,5.6705,7.6016,2.1627,6.3688,5.8391,7.6350,7.3274,5.6935,4.3521,6.6136,7.2497,1.7130,5.9217,7.6994,7.9092,10.7357,6.2464,7.8860,6.4530,10.1819,6.3208,6.1375,10.0616,7.9375,7.0597,7.6779
MODB_36,8.2016,9.5210,7.8475,4.7275,5.9049,1.7662,6.6190,5.2751,6.0769,5.7056,4.7291,10.2410,5.1602,7.5460,7.4024,8.1310,2.1742,5.3389,5.2586,8.7746,7.7584,4.9615,5.0475,7.2664,6.2581,1.0397,4.8094,7.0118,7.8826,10.1798,5.9574,6.4420,7.0188,10.5794,6.9011,7.2207,9.3044,7.0204,6.6435,7.3024
MODB_37,5.5273,8.1183,6.4533,5.2769,4.6358,2.4544,5.8692,5.3181,5.2003,5.6984,4.6190,8.3379,4.6021,4.6424,6.8565,5.2573,3.6820,5.4836,4.7467,7.4764,5.7265,5.5540,4.3630,6.3554,7.0707,0.1588,3.8277,6.9163,6.8366,8.8461,6.4179,6.2758,5.9672,10.0816,5.6808,6.4975,8.4991,6.5962,5.4176,7.5768
MODB_38,6.9825,9.6410,6.5462,4.8261,5.5573,1.5829,5.4380,5.7284,5.8993,5.6937,4.8987,10.4829,4.6649,6.2264,7.7685,6.6327,2.0175,5.2620,3.2917,8.0594,7.1673,5.6792,5.3618,6.3509,6.0511,0.3355,4.7456,6.2504,6.5948,10.4017,6.0318,6.5185,5.0249,11.0380,5.7690,7.5998,9.8999,7.4189,5.4452,7.1796
MODB_39,7.9908,8.9360,6.3924,5.0201,3.9170,-0.5842,5.3976,4.7706,6.4578,4.4610,4.4166,9.7434,4.7775,5.2431,7.1052,7.1500,1.0959,5.1326,5.2612,8.1582,7.7966,5.6293,3.7250,6.6657,5.6574,-2.9828,3.8640,6.1284,7.0316,12.0684,7.2247,5.8517,6.6583,12.2986,6.8054,6.6790,9.7751,7.3260,5.7493,7.8787
MODB_40,8.0671,9.6876,5.5362,4.8814,4.5203,0.1917,3.7700,5.2203,5.9181,6.0506,3.3514,10.0597,4.1881,5.7578,7.2303,6.6322,1.6905,5.4552,2.7909,8.7007,8.2503,5.5335,4.0094,5.6983,6.5017,-1.6261,4.5639,7.5450,7.4157,10.9715,5.6451,6.8194,6.4132,12.5750,6.1542,7.4023,10.8262,8.0434,6.0658,7.6781
MODC_01,6.4462,3.8229,7.3972,5.6615,6.1169,4.1828,6.4816,7.5846,6.7202,6.5378,4.8903,6.6163,9.6823,5.5828,7.7581,7.1109,6.4044,7.8412,7.2491,5.6192,6.2554,6.3851,5.4366,5.9540,7.8029,5.5598,4.5645,5.3969,5.1213,3.9223,6.8555,5.8375,7.5202,9.8974,9.4696,6.9743,4.9214,6.6187,3.4317,7.8415
MODC_02,5.4755,3.9527,6.7092,5.8408,5.7709,2.7494,3.3759,7.2282,5.6943,5.0893,3.8636,6.4721,7.8423,4.7547,6.5613,6.6937,6.4430,6.7693,6.2219,4.4690,6.9774,5.6834,3.5080,4.6811,7.4858,5.9028,3.7585,4.9944,3.8055,2.7472,6.8260,5.3413,7.7558,9.4109,9.8819,5.5705,4.0377,5.6815,3.0611,7.7523
MODC_03,7.4728,3.7491,6.2572,6.1808,5.8296,2.9765,4.2062,8.2631,5.6659,8.3841,4.6998,9.2166,11.8049,6.4963,7.8588,8.4806,7.6077,9.4946,7.1262,5.7533,7.2068,6.6634,4.4774,4.4117,8.2892,6.1063,3.1004,4.8120,5.5146,2.6007,7.8841,3.3043,8.4292,11.4575,11.0152,5.0592,4.7420,6.4336,3.7601,9.3552
MODC_04,8.1322,4.3020,6.4619,6.1460,6.0827,3.5548,5.1068,8.0966,6.8544,8.0422,3.7381,7.5386,8.7918,4.8980,7.2767,7.7004,7.4210,7.5727,7.3599,5.7705,6.6176,5.8256,5.2441,5.7277,8.4784,6.1254,3.4755,4.4366,5.0432,1.6399,7.5573,4.8742,9.1938,12.7083,10.4727,6.4373,4.3652,6.1640,4.7190,7.9369
MODC_05,6.6835,2.4469,5.3499,3.9572,6.1195,2.3609,3.2271,8.2464,6.4716,6.9813,3.3739,7.1166,9.9368,4.2213,6.9767,6.8065,6.7019,8.3110,6.3937,4.6445,7.8303,5.7964,3.6436,5.3797,8.0135,5.3235,2.2729,4.6279,3.8217,2.4410,6.9755,3.7912,8.6581,12.7504,11.2108,5.5400,3.1136,6.1495,4.1982,8.7995
MODC_06,6.8113,2.7634,6.7695,6.0832,6.8188,3.2322,4.1520,8.0516,6.5545,7.4314,4.0077,9.1948,9.9755,5.1346,6.8560,8.4582,6.8274,9.1148,6.7940,6.0539,6.8424,5.0825,4.2912,4.5036,8.2038,7.2966,2.8861,4.4456,5.1275,2.3295,8.1907,5.3971,8.3189,11.2733,10.8439,5.7599,4.5579,5.6827,4.0276,9.1249
MODC_07,6.7888,3.6818,5.8996,5.2261,5.4501,3.1666,4.5511,7.2273,6.0446,8.0929,3.0670,7.6929,10.0792,5.0737,6.7884,7.9041,7.0504,8.2727,6.0159,5.5179,6.8893,6.8290,4.0011,5.0036,8.2706,6.7759,2.1876,5.1310,4.7014,3.8536,6.8416,5.4254,7.6020,11.1272,10.5502,6.0551,4.2494,5.8730,4.2447,8.6513
MODC_08,5.9547,2.3220,5.8395,6.1093,5.4557,4.0786,4.4880,6.3199,4.8122,7.1674,3.6199,7.1788,9.6622,4.6712,7.2932,8.1267,6.5611,7.9309,6.1812,5.9580,6.4739,5.6946,5.0378,3.6185,7.3132,6.3830,2.7757,3.1852,5.1981,2.3502,5.9738,5.7713,7.4677,11.4694,8.8990,5.2138,4.6837,6.3428,4.6729,7.6801
MODC_09,7.2823,2.4172,4.9953,6.0819,5.7358,2.8659,4.5396,8.2688,4.9127,7.1962,3.6657,7.2393,10.5183,4.0464,7.2929,6.7918,8.1696,7.3156,6.8974,5.5092,6.5066,5.4851,3.6879,5.0543,7.8852,5.9194,2.8783,4.3860,5.4752,2.8422,5.9664,5.2901,8.1066,12.3633,9.8537,5.9200,3.7524,6.4783,3.6127,8.8076
MODC_10,6.6996,3.5798,6.6123,5.7027,6.7906,4.0935,5.1106,7.1575,5.5105,6.4700,4.0892,6.4384,8.8613,4.6781,6.0602,6.1925,6.4628,7.0806,6.4602,5.6615,6.2958,5.2207,3.8783,5.3584,6.1551,5.2769,3.3982,3.9048,3.8132,3.1199,7.5220,4.3359,7.1640,9.8998,9.0935,5.6918,4.3520,5.7179,4.9510,7.9047
MODC_11,6.0472,3.7556,6.6658,5.0428,5.9786,4.7721,4.3225,7.2639,5.9742,6.6943,2.9854,7.2544,8.4145,5.5712,6.5794,6.7283,6.4107,8.1202,6.8508,5.7314,7.3941,6.1023,4.6932,5.1295,7.7914,6.7216,4.4917,4.9189,4.8286,3.4123,5.9220,4.8850,7.6703,10.0808,11.2282,6.9272,4.8822,5.8052,5.1922,8.3691
MODC_12,5.9857,4.2513,5.9534,5.0804,4.5074,4.5477,3.9625,5.7214,5.0487,6.1245,4.1988,6.2503,7.9265,4.4395,6.0340,4.9414,5.9011,6.8142,6.2226,5.3147,6.0254,5.1392,4.4243,4.9512,6.2474,6.2221,2.5725,3.6754,3.3320,3.7872,6.6447,3.9080,5.8971,8.5954,9.2739,4.8744,4.0775,5.3977,4.2654,6.6150
MODC_13,5.4855,2.4527,5.4721,6.2194,5.3744,3.1941,4.2737,7.9344,5.5201,7.8376,2.7489,8.0972,9.9796,5.1419,7.3606,8.2244,7.1906,9.1234,7.6491,4.3038,6.7826,5.1485,4.0286,5.1549,6.9958,5.7674,2.4786,4.6626,4.1900,1.4636,7.0153,4.0285,8.5030,12.0154,11.8480,5.5884,3.9188,5.9759,3.9451,9.5051
MODC_14,6.3943,3.3247,6.8672,4.2926,5.2204,3.1999,4.6277,7.2444,5.1057,6.3636,3.4086,7.5203,7.6916,5.1093,5.6851,5.7676,5.2617,5.9333,5.9919,4.7547,5.4325,4.1868,4.0837,4.3476,6.8050,5.5371,3.0102,3.6577,3.9233,2.1228,6.2113,5.3778,6.1368,9.5215,7.3871,5.3547,5.1442,5.6103,3.2966,7.0332
MODC_15,6.1981,2.9971,5.5017,5.8952,7.0512,2.0353,4.5610,7.0053,4.9230,6.6023,2.9574,7.5931,9.0675,4.2218,6.2468,7.6613,6.0655,7.4090,6.9015,4.4044,5.4703,5.1451,4.3534,4.6743,7.2050,5.5019,4.1003,4.4013,4.2947,2.5512,6.0025,4.9219,8.0546,9.9641,9.3728,5.8640,3.9503,5.9928,4.2664,8.9523
MODC_16,5.7647,1.4935,6.5233,5.2594,4.7432,3.5958,3.9422,7.5034,4.5237,7.9305,3.0455,8.2522,9.5455,4.2281,5.1249,6.5117,5.6059,7.3863,5.4876,3.9323,5.8827,6.2246,3.8201,3.2187,6.8836,6.2655,1.3500,4.4002,4.1329,0.8760,8.2893,3.0855,8.2931,11.2777,10.2737,4.1669,2.6737,5.5654,2.3203,8.8792
MODC_17,7.2089,0.8477,6.1057,6.5506,5.6621,2.7863,3.4632,8.2744,5.7491,7.5041,2.6641,8.1647,8.8829,4.1621,7.1562,6.9355,7.8569,7.9267,7.5755,6.0257,6.8089,5.5157,3.7183,4.7691,7.9537,5.8515,2.7854,4.5826,3.9448,2.7052,7.2688,5.4162,8.2302,11.8294,10.3529,5.8999,3.3126,6.1576,2.5641,8.5074
MODC_18,6.2401,1.8877,5.7326,5.4407,5.2199,1.6048,4.6315,8.1124,5.5856,7.0664,2.9244,8.2927,10.4259,4.4116,6.5514,7.0291,7.2020,7.8166,5.9141,4.2856,6.9413,5.0727,3.1071,3.7921,7.7411,5.1204,3.4639,3.7349,4.6855,2.3827,4.8668,4.0032,8.9922,11.5025,11.3627,5.7197,3.8780,6.8626,2.7846,8.0879
MODC_19,7.4823,3.6129,6.8503,5.1091,5.7765,2.4952,3.6895,6.3063,6.1314,7.3587,3.5279,6.3008,9.0315,4.1704,6.6324,7.6657,5.8341,7.9469,6.4312,4.6597,6.6171,4.6842,4.7919,4.3771,6.9777,5.6513,4.2441,4.4086,4.4390,2.9505,5.8981,4.2180,8.0252,10.2101,8.8917,4.8365,3.8300,6.3126,3.5448,7.9141
MODC_20,6.4360,3.2864,5.9132,5.9941,5.2520,3.0909,4.5947,6.7061,5.9679,7.5669,5.7373,7.8463,9.3401,5.2731,7.3654,6.6271,6.4512,8.2327,6.7296,4.9224,5.6434,5.2804,5.3461,5.3211,7.0425,5.9369,3.5606,3.9338,5.1640,2.6617,6.7066,5.1595,8.0531,9.3477,8.7488,6.2126,5.0761,5.7349,3.0636,7.9871
MODC_21,8.1702,3.3448,6.9120,5.0921,6.6598,3.5337,4.2385,7.0031,5.7389,6.6006,5.0042,7.8826,9.3438,4.2890,7.8319,7.2743,6.7347,7.0364,6.6216,4.8703,7.2211,5.0262,3.8092,4.8918,7.5459,5.9909,3.3372,4.9805,6.0464,4.2450,7.0056,6.2320,8.6055,10.9346,8.6009,6.6106,3.2636,6.5863,4.4553,9.9257
MODC_22,7.3255,3.8046,6.0024,6.8065,6.4069,4.6469,4.4114,8.8138,6.6219,7.7678,5.6034,7.3928,9.0420,5.2155,7.2596,8.8216,6.5376,8.0356,7.9965,5.6293,7.1887,5.3826,5.3541,5.6882,8.7076,6.3345,3.6337,4.1459,5.8599,3.9349,6.8004,4.5585,8.4219,11.2928,10.7271,6.1654,4.4043,6.2653,4.8830,8.5433
MODC_23,5.9587,1.7021,5.0356,5.0072,5.6510,1.6795,4.2819,6.5086,4.4361,6.3995,2.7612,6.8916,9.6976,4.0844,7.1461,6.9555,6.7573,8.0072,6.0418,4.8645,6.8250,4.1902,3.2156,4.4109,7.7735,4.9752,2.9554,4.0837,3.4313,2.2092,7.9680,2.3643,7.8812,11.6646,9.9411,4.4740,2.9658,5.3786,4.3618,8.2490
MODC_24,7.2407,3.3932,5.8917,6.5076,6.3803,2.9319,4.9283,8.5526,6.2496,8.2840,4.6942,6.5443,10.3226,4.2975,7.2733,9.3040,6.4886,8.6162,6.7731,6.8571,7.6776,6.2381,4.8097,4.3997,8.2021,6.4126,3.7052,3.5306,5.4464,3.1163,7.5981,4.5627,9.9687,11.8378,11.1411,5.9928,3.9285,6.4825,3.3383,9.5323
MODC_25,7.3029,4.0194,6.0002,4.4346,6.2790,3.3978,4.4830,8.0063,6.2912,7.8813,4.2067,8.0497,10.9055,4.5627,6.9986,7.3277,6.5219,7.5323,6.9047,5.0588,6.2833,6.0967,3.8800,4.6750,7.2968,7.0925,3.4234,4.3832,6.0247,2.6608,6.5730,5.2287,7.8064,11.5899,10.4439,6.3170,4.9521,7.2614,4.0697,8.5066
MODC_26,7.4163,2.7363,6.3772,6.8230,5.9075,2.0417,3.4959,7.8862,5.1578,7.2961,3.7304,7.9969,9.4565,5.0676,6.7648,7.5917,5.5537,9.9828,6.4182,5.0852,7.1306,4.9719,4.3405,5.2922,7.5495,7.0376,3.3511,4.9861,4.5222,2.7339,6.5602,5.9962,7.6552,12.4621,10.2866,5.9439,4.0146,7.3474,4.5923,9.0759
MODC_27,6.3726,1.5945,5.9869,4.4008,6.0686,2.6020,3.5563,7.6355,4.3655,5.7796,3.0335,6.7728,10.0379,3.9964,6.4933,7.1160,6.2295,7.8232,5.8435,4.6237,5.8805,4.7707,2.6532,3.9197,6.8920,5.6873,2.7168,4.1443,4.3688,2.4396,5.8394,4.2792,7.6752,10.5749,10.8779,4.7879,2.5712,3.9281,3.0110,7.9517
MODC_28,6.4513,3.5718,5.6467,4.7130,6.9272,2.8156,3.9779,9.4744,5.7206,6.4116,3.9961,8.6819,9.0447,5.2010,6.8278,6.6168,6.3119,7.5374,6.5982,5.8724,8.0948,5.9300,4.9632,4.7515,7.6102,5.6846,4.5071,4.8236,4.6910,2.8864,7.5348,6.1270,8.6596,10.1736,10.5747,5.3517,3.9733,6.5461,5.4677,9.0760
MODC_29,5.2662,2.6014,6.3390,5.6748,5.8194,3.3588,4.3816,6.2099,5.0298,7.2047,2.5201,6.6933,9.3409,4.9974,6.4453,6.3855,6.0766,7.5549,6.0601,5.0603,7.0101,5.7977,5.2951,4.1160,8.1377,4.8353,4.4982,5.2380,4.1801,2.8136,6.4402,4.0268,7.2763,10.8934,9.4028,5.2887,2.9507,5.7774,4.8501,7.3582
MODC_30,7.2020,3.7827,7.3148,5.8865,5.9027,2.9048,3.6371,8.2950,5.9258,7.8130,3.7641,8.0399,10.0130,5.4210,6.9429,8.1124,6.3411,7.8928,6.4227,5.8695,6.8860,6.0917,4.1233,5.0200,8.5197,6.2603,3.9170,5.9430,5.6522,3.2998,6.8314,4.7483,8.0219,11.5652,10.8074,6.9559,3.5294,5.8919,3.7520,7.9092
MODC_31,6.7807,2.9865,6.7308,5.3813,6.0902,3.6556,4.7482,7.0387,4.4276,7.0593,3.9372,7.4303,9.4963,5.7084,6.3131,6.9796,6.1010,6.8742,6.0376,6.4494,5.4893,5.9635,4.7540,5.4599,8.3389,6.0107,4.8872,4.4057,4.2732,2.9352,6.7510,5.7060,8.2906,10.5175,10.2890,6.5814,3.7905,6.7821,3.7635,8.2993
MODC_32,8.2770,3.1227,7.4265,5.8452,6.9179,2.9702,4.0493,9.5109,5.3326,8.0598,3.7375,7.6321,11.7592,4.9461,8.6443,8.3030,8.3984,9.4009,8.2699,6.4629,7.1023,6.6533,4.3912,5.4486,8.5939,6.9465,4.9830,4.9296,4.6482,2.7791,7.4191,5.9440,8.8423,14.1613,11.6099,7.1864,5.0346,6.2289,3.8640,9.0224
MODC_33,7.8153,1.8210,5.5916,7.1323,5.6228,2.5726,4.9300,8.2125,5.9079,7.9978,3.1879,9.1227,10.8227,4.0035,7.1448,9.6150,6.1263,8.5402,7.2767,4.2884,7.4881,5.5061,3.6486,4.4251,8.9305,5.2942,2.4332,5.3950,4.4525,2.7877,6.7883,4.6875,9.7182,13.0701,11.9866,5.5762,2.9189,5.8074,3.6611,8.0295
MODC_34,7.1048,2.5330,6.0224,5.8855,4.1449,3.5430,4.1370,7.2586,5.4876,6.1818,3.4049,6.5942,7.8584,4.8715,6.6727,6.5617,5.5318,7.6157,6.4363,4.5087,6.8228,5.2736,2.7430,4.2211,7.3699,5.7642,4.1436,4.9507,4.5389,3.2605,7.6553,4.3738,6.3194,9.8628,8.7851,5.0366,4.4755,5.6028,3.3483,7.7095
MODC_35,7.5336,3.8123,5.3622,6.1000,8.2087,3.6827,5.1562,7.1247,6.1139,7.9478,4.7365,7.1615,8.9301,4.5809,6.7998,8.2233,8.1382,7.9174,7.8671,5.8867,6.2549,5.7967,5.2424,4.7339,8.5023,6.1598,4.8773,5.8270,4.7531,4.1138,7.3984,5.9674,7.8097,11.2352,9.2308,6.5829,3.3727,6.5697,4.2595,8.4766
MODC_36,6.3577,3.0351,7.0101,6.1875,5.4519,4.1251,3.3430,8.0121,6.4399,6.3725,3.9453,6.6738,9.7598,5.6500,6.6773,7.2440,6.9869,8.8255,6.8079,4.2884,7.1082,5.6100,3.6978,4.0392,8.1481,6.3754,3.3814,4.8736,3.6095,1.9773,6.9844,4.2141,8.5344,10.8204,10.2456,5.2370,3.4277,5.5707,3.6043,8.7012
MODC_37,6.8356,3.9150,5.2569,6.1551,6.0404,3.8254,3.5863,7.1406,5.1201,7.9982,2.7626,6.6952,9.5722,4.6223,7.1533,7.6804,6.9170,7.3177,7.0733,4.8663,6.0371,5.2563,4.6222,5.6569,7.4736,5.8795,2.8047,5.1359,4.7606,2.4693,6.9905,4.0505,8.2198,11.2665,11.8853,5.5713,4.1128,5.1693,4.0827,9.2667
MODC_38,5.5183,2.6659,5.7816,5.5058,5.9173,4.1388,4.3427,7.1856,6.0512,7.4239,5.0654,6.7474,9.2107,4.5830,6.8994,7.6572,6.9065,7.3114,6.8170,4.7254,6.3313,5.5217,4.5081,4.7668,6.5496,6.0157,4.6849,4.5781,4.2248,4.1698,5.5492,4.8405,7.0390,11.2474,8.7445,6.0316,3.6272,7.9306,4.2963,7.2368
MODC_39,6.5528,3.2918,6.0246,6.2052,6.0827,3.5997,4.0074,8.8808,6.0544,8.0492,3.5105,8.8904,9.7151,4.4166,7.4343,7.5895,6.4324,7.1026,8.0276,5.6343,8.5700,6.4719,4.8387,4.8560,8.2341,7.0441,4.5804,5.8329,5.6685,3.3879,7.6899,5.6985,8.7600,11.8071,11.0654,6.1235,5.2960,5.5899,3.8311,9.2676
MODC_40,7.1316,1.3114,7.1265,5.9443,5.9694,2.8735,3.4827,7.8814,5.7747,7.1127,4.4266,8.4563,11.2661,4.7580,7.2503,7.5912,7.9978,8.3598,7.5196,5.5938,7.7023,5.1774,4.7402,3.5282,8.6495,5.9859,3.8080,4.9632,4.6165,2.4736,7.0403,4.0135,10.2620,11.3590,11.0435,5.5927,4.3246,7.4065,3.2607,8.9715
NOISE_01,6.0582,5.7579,6.6087,6.5448,5.3533,6.8547,6.1628,6.5257,7.1157,6.1788,6.7668,5.1833,4.2314,5.2591,7.2578,5.0366,4.4454,6.5720,7.0217,5.0682,8.5787,7.0133,6.0930,6.6458,3.5093,6.6511,4.3920,6.3259,6.0868,5.7641,6.2760,6.2675,5.4934,6.7382,3.7871,5.2579,6.2732,5.7209,5.8390,5.7032
NOISE_02,6.4751,6.1471,5.3938,6.5266,8.0555,4.7967,5.7831,7.3321,5.1647,6.4530,4.6398,3.0415,5.2611,4.7255,7.2188,6.1613,5.4719,6.6110,6.9965,5.0611,6.4404,6.3200,6.8140,7.9980,5.3658,7.8384,5.2036,6.8989,5.1123,6.8654,6.4155,5.8956,6.9875,7.3925,5.0548,4.4827,4.7206,7.7781,5.8981,5.6526
NOISE_03,4.3887,6.9470,5.9730,5.1291,7.5392,5.8343,6.4889,5.6982,7.4690,6.6552,5.0878,6.9786,5.8059,5.5382,6.0345,4.8855,5.1961,6.5306,7.1520,7.7661,6.2297,5.9522,5.2784,5.2868,5.6373,7.2817,7.0408,6.5956,4.5149,7.1095,5.1334,5.1800,6.2459,7.5719,5.0736,6.2143,7.0124,6.2445,5.9974,6.1702
NOISE_04,5.9731,7.3943,6.7725,6.4316,5.2305,5.7595,5.7042,6.3223,5.9252,5.6842,6.0763,5.8944,7.5147,6.8249,4.3543,6.3461,6.5620,7.8488,5.8979,4.5541,6.8317,5.7411,4.9184,6.1365,4.1432,6.4968,5.0262,5.6639,7.0949,5.9866,6.0095,6.9997,6.3553,6.1984,4.0918,5.8282,4.8048,6.1255,5.4895,6.3790
NOISE_05,4.0284,5.8967,6.2677,6.5766,6.6222,5.2612,4.9756,5.2781,5.5396,7.1014,4.9962,5.7090,5.3593,5.5683,6.1766,5.8394,4.4687,7.1861,6.9940,4.3899,5.6110,6.5098,5.9785,6.3203,2.0770,6.0782,5.6072,4.3203,4.3770,5.5213,4.9000,6.7476,5.4627,2.9114,7.9972,7.1536,6.2470,5.8470,4.7168,5.3596
NOISE_06,4.9743,6.1337,5.6714,6.6472,7.6504,6.1387,7.4908,5.8471,6.2967,5.1047,4.8182,5.5478,5.3987,5.4265,5.9184,7.3602,4.9062,7.3812,5.9817,7.2650,6.5811,5.3488,4.4724,4.2624,7.1381,7.3311,4.9364,6.5896,8.0416,6.1031,5.8723,5.5814,6.5870,7.4630,5.7381,4.1261,6.9869,5.7814,6.2255,6.2542
NOISE_07,6.8622,5.8581,6.0578,5.2665,5.5972,6.6373,6.3405,5.5807,6.0946,6.2742,5.4749,6.4284,5.4987,9.0068,6.4100,7.4804,6.1407,6.6579,5.7096,6.5211,4.7411,3.6656,6.5299,8.6328,6.0340,6.4067,4.0737,8.0532,5.2484,6.5995,6.4945,6.7585,7.6507,7.0700,5.6977,4.8621,5.6998,5.8736,6.6021,6.1758
NOISE_08,4.7025,7.3282,7.4228,6.0541,6.0561,7.1861,5.6869,6.5082,6.6947,5.6021,6.4157,5.2844,6.4918,5.2038,6.2517,5.4413,5.7696,6.5969,6.0983,4.7476,6.4899,6.4060,5.0553,6.9938,5.9250,7.4472,8.2828,5.0964,4.4472,5.2961,7.7240,6.4320,4.8848,6.3716,5.6285,5.0802,5.5986,2.8255,6.9395,3.7854
NOISE_09,5.7372,3.7741,6.7940,6.6281,6.9602,5.0920,5.8144,6.2905,4.7398,4.4590,7.5964,6.2863,6.8680,4.8444,6.2085,6.0298,4.7400,7.2909,5.5217,6.9973,6.6722,6.1023,6.8384,7.4413,6.9515,8.5110,6.1585,6.2057,4.4896,6.9192,7.1413,7.0341,6.2067,4.6866,8.0342,5.5126,4.2927,6.0744,6.6079,4.9266
NOISE_10,8.2557,6.6853,7.1142,5.8667,5.0174,6.2749,6.9068,4.8960,6.7969,6.0493,8.2341,6.3506,6.1982,6.3434,5.0097,6.5279,7.5424,5.4239,6.7470,5.9213,5.0710,5.8126,3.7668,6.2597,6.5283,5.9141,4.8789,6.2227,6.9307,5.2260,7.0292,5.4187,5.4434,8.2082,6.6795,7.0342,6.4930,6.9104,5.5386,5.3196
NOISE_11,6.0651,5.3362,6.0809,5.1800,5.8645,4.7695,4.5320,5.4504,6.5517,6.4018,6.0477,6.3709,6.3056,5.8020,5.7711,6.0493,5.9508,8.0786,5.7018,6.5305,5.7949,8.0918,4.8319,5.0991,6.5725,6.3153,6.5281,3.7874,6.1402,7.0570,7.7699,4.7828,6.0818,7.0112,5.4750,6.8680,3.5390,5.5305,7.2118,6.2160
NOISE_12,6.9919,4.7703,6.0229,6.1896,6.0902,7.8366,6.2118,5.9307,4.7022,5.5804,5.1962,7.2364,5.3773,6.0262,4.5980,4.8139,6.1380,6.4677,5.8116,6.6559,5.5240,5.8880,5.1668,6.5302,6.5896,5.9270,4.0936,6.8930,7.2014,6.7316,6.1102,4.9807,4.8361,6.3389,6.4511,7.2685,5.1651,7.8423,4.7594,6.2429
NOISE_13,5.6446,6.5670,7.4324,3.8794,6.8375,6.0086,5.3616,5.4347,5.0320,6.4620,5.1632,6.3126,4.7334,7.2466,6.7181,4.6475,6.6135,6.1840,6.2823,6.1358,6.9139,4.4627,5.9613,5.3058,6.2823,6.1990,7.2930,6.3930,5.9896,5.8414,8.3590,6.1038,5.7738,5.5792,6.9837,6.4615,7.0278,7.0772,4.9247,7.9596
